id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,number_of_parks,number_of_code_complaints
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,3,2170
4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.24799999999999,1190,6780,3,2170
4058801670,2014-07-17,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,3,2170
2976800796,2014-09-25,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619,3,2170
6874200960,2015-02-27,170000.0,2,1.0,860,5265,1.0,0,0,3,6,860,0,1931,0,98178,47.5048,-122.272,1650,8775,3,2170
4268200055,2015-05-01,245000.0,3,1.75,1740,11547,1.0,0,0,3,7,1740,0,1954,0,98178,47.4945,-122.22,880,78408,3,2170
3969300030,2014-07-23,165000.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0,1943,0,98178,47.4897,-122.24,1020,7138,3,2170
3969300030,2014-12-29,239900.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0,1943,0,98178,47.4897,-122.24,1020,7138,3,2170
1678400105,2015-02-12,339000.0,4,1.5,2390,7480,1.5,0,2,3,7,2390,0,1920,0,98178,47.504,-122.227,2850,6867,3,2170
2172000075,2014-06-23,290900.0,2,2.0,1610,17600,2.0,0,0,3,6,1610,0,1930,1983,98178,47.4855,-122.266,1310,12950,3,2170
1180003090,2014-09-06,190000.0,2,1.0,630,6000,1.0,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840,3,2170
561000075,2014-12-31,260000.0,3,1.0,1180,5350,1.5,0,0,4,6,1180,0,1959,0,98178,47.505,-122.259,1490,5350,3,2170
1123049053,2015-02-13,360000.0,4,2.5,1840,9611,2.0,0,0,3,7,1840,0,1996,0,98178,47.4964,-122.251,1830,8505,3,2170
7812800565,2014-08-14,289500.0,3,1.0,960,6400,1.0,0,0,4,6,820,140,1944,0,98178,47.496,-122.23899999999999,1200,6600,3,2170
3348401740,2015-01-27,188000.0,2,1.5,1120,17487,1.0,0,0,3,6,1120,0,1924,0,98178,47.5024,-122.271,1690,8056,3,2170
2171400197,2014-09-18,350000.0,5,3.0,2520,5500,1.0,0,0,3,8,1550,970,2004,0,98178,47.4938,-122.255,1700,8000,3,2170
5476200160,2014-07-25,164808.0,3,1.0,1250,5411,1.0,0,0,3,7,1250,0,1980,0,98178,47.5064,-122.265,1490,6320,3,2170
9368700223,2015-02-02,310000.0,4,3.0,2010,7426,1.0,0,0,5,7,1090,920,1951,0,98178,47.5042,-122.265,1470,7426,3,2170
7567600045,2014-08-27,825000.0,2,1.0,1150,12775,1.0,1,4,4,6,1150,0,1908,0,98178,47.501999999999995,-122.22200000000001,2440,11852,3,2170
2171400126,2014-06-05,269000.0,3,1.0,1690,4250,1.0,0,0,3,7,1020,670,1967,0,98178,47.4945,-122.258,1820,8865,3,2170
3352402236,2014-12-15,252500.0,3,2.0,1150,6000,1.0,0,0,5,7,1150,0,1956,0,98178,47.49800000000001,-122.26299999999999,1980,6360,3,2170
8069000075,2014-12-29,790000.0,4,1.75,2460,10061,1.0,1,4,3,7,1410,1050,1961,0,98178,47.5105,-122.238,2300,10061,3,2170
7812800310,2014-06-25,260000.0,2,1.0,1120,5650,1.0,0,0,3,6,1120,0,1944,0,98178,47.4979,-122.241,1270,6875,3,2170
2171400218,2015-04-16,245000.0,4,1.5,1280,8000,1.0,0,0,3,6,1280,0,1960,0,98178,47.4949,-122.255,1420,8211,3,2170
8073000550,2015-04-15,1700000.0,4,3.75,3190,17186,2.0,1,4,3,10,3190,0,1999,0,98178,47.5115,-122.24600000000001,2290,13496,3,2170
